user_segment,city,cart_size_at_show,cart_value_at_show,discount_on_order,has_main_in_cart,has_drink_in_cart,has_dessert_in_cart,has_side_in_cart,item_category,item_price,item_popularity,is_complement_category,is_bestseller,is_ghost_kitchen,meal_slot,hour,is_weekend,is_festival_order,is_rainy_weather,rank_shown,city_tier,user_preference_drift,meal_complete_score,label,missing_drink,missing_dessert,split
5,3,2,344.0,0.3,0,1,0,0,2,535.0,0.202,1,0,0,1,19,0,1,0,2,1,0,1,1,0,0,2
4,6,4,1280.0,0.0,1,0,0,1,0,272.0,0.314,1,0,0,4,17,0,0,0,1,2,0,2,0,0,1,2
0,4,3,384.0,0.0,0,0,0,0,4,111.0,0.209,0,0,0,1,18,0,1,0,2,1,0,0,0,0,0,2
4,3,2,692.0,0.2,1,0,0,1,4,260.0,0.162,0,0,0,3,11,1,0,1,1,1,0,2,0,0,0,2
2,9,4,865.0,0.0,0,0,0,1,3,102.0,0.133,1,0,0,1,19,0,0,0,1,2,0,1,1,0,0,2
2,0,4,524.0,0.0,1,1,1,0,3,111.0,0.202,1,0,0,1,20,1,0,0,5,2,0,3,0,0,0,2
5,8,3,477.0,0.0,1,0,0,1,4,66.0,0.616,0,0,0,3,13,0,0,0,2,1,0,2,1,0,0,2
5,8,3,401.0,0.0,0,0,1,0,5,147.0,0.295,0,0,0,0,9,1,0,0,2,1,0,1,0,0,0,2
4,8,3,878.0,0.0,1,1,0,0,0,310.0,0.064,1,0,0,1,19,1,1,0,2,1,0,2,0,0,1,2
5,9,4,232.0,0.1,1,1,0,1,0,52.0,0.827,1,1,0,1,20,1,1,0,1,2,0,3,1,0,1,2
3,2,3,129.0,0.1,0,1,0,1,4,63.0,0.315,0,0,0,2,23,1,0,1,5,1,0,2,0,0,0,2
5,3,1,203.0,0.2,0,0,0,1,3,185.0,0.629,0,0,0,4,16,0,0,0,8,1,0,1,0,0,0,2
0,4,1,26.0,0.2,0,0,1,0,3,63.0,0.505,0,0,0,3,12,0,0,0,4,1,0,1,0,0,0,2
5,8,2,86.0,0.2,0,1,1,0,0,55.0,0.308,1,0,1,1,20,0,1,0,2,1,0,2,1,0,0,2
5,1,1,37.0,0.0,0,0,0,1,3,33.0,0.677,0,0,1,3,11,0,0,1,1,1,0,1,0,0,0,2
4,8,2,172.0,0.0,0,0,1,0,1,94.0,0.142,1,0,0,4,15,0,1,0,3,1,0,1,1,1,0,2
0,8,1,107.0,0.1,1,0,0,0,0,43.0,0.766,1,1,0,2,23,0,1,0,4,1,0,1,1,0,1,2
5,8,2,113.0,0.0,0,1,1,0,2,249.0,0.238,1,0,0,1,20,1,0,1,5,1,0,2,0,0,0,2
4,1,3,200.0,0.2,0,1,0,0,1,25.0,0.517,0,0,1,1,22,1,1,0,4,1,0,1,0,0,0,2
0,5,3,160.0,0.0,0,0,1,0,1,30.0,0.148,1,0,0,4,17,0,0,0,6,2,0,1,0,1,0,2
5,3,2,255.0,0.2,0,0,1,0,3,113.0,0.549,1,0,0,1,20,0,0,0,8,1,0,1,0,0,0,2
3,8,1,196.0,0.0,1,0,0,0,0,97.0,0.361,1,0,0,1,18,0,0,0,5,1,0,1,1,0,1,2
5,8,2,320.0,0.0,1,0,0,0,3,101.0,0.255,1,0,0,0,7,1,0,0,1,1,0,1,0,0,0,2
4,1,3,997.0,0.0,1,0,1,0,2,447.0,0.547,0,0,0,2,10,0,1,0,1,1,1,2,1,0,0,2
4,2,2,915.0,0.2,1,0,0,0,2,413.0,0.502,0,0,0,4,15,1,1,0,2,1,0,1,0,0,0,2
5,8,2,145.0,0.0,1,0,1,0,1,25.0,0.661,1,0,0,4,15,0,0,1,5,1,0,2,0,1,0,2
1,3,2,91.0,0.0,0,1,0,0,1,25.0,0.176,1,0,0,1,19,0,0,0,5,1,0,1,0,0,0,2
5,9,4,195.0,0.0,0,1,0,0,5,65.0,0.121,0,0,0,3,12,0,1,0,2,2,0,1,0,0,0,2
4,0,4,918.0,0.1,0,0,0,1,0,242.0,0.166,0,0,0,0,6,1,0,0,2,2,0,1,0,0,1,2
4,8,2,233.0,0.3,0,1,0,0,5,236.0,0.31,0,0,0,3,12,1,0,0,2,1,0,1,0,0,0,2
5,3,1,144.0,0.1,0,0,1,0,5,151.0,0.725,0,1,0,1,20,1,0,0,1,1,0,1,0,0,0,2
4,5,3,217.0,0.2,0,1,0,0,4,157.0,0.09,0,0,0,1,21,0,0,1,1,2,0,1,0,0,0,2
4,9,1,112.0,0.2,0,0,0,1,2,416.0,0.153,1,0,0,3,11,0,0,0,9,2,1,1,1,0,0,2
4,3,2,267.0,0.0,1,0,1,0,2,188.0,0.666,0,0,0,4,16,0,0,0,1,1,0,2,1,0,0,2
5,2,3,84.0,0.1,0,1,0,0,0,54.0,0.289,1,0,0,0,7,0,0,0,6,1,0,1,1,0,1,2
4,8,3,196.0,0.1,0,1,0,0,1,52.0,0.204,0,0,0,1,20,1,0,0,3,1,0,1,0,0,0,2
4,4,3,67.0,0.5,0,0,1,1,5,70.0,0.155,0,0,0,3,11,0,0,1,5,1,0,2,0,0,0,2
3,9,2,822.0,0.0,1,0,0,0,5,224.0,0.728,0,1,0,2,1,0,0,0,4,2,0,1,1,0,0,2
4,4,3,289.0,0.0,0,0,1,1,3,56.0,0.049,0,0,1,3,12,0,0,1,9,1,0,2,0,0,0,2
4,1,3,381.0,0.2,1,0,1,0,3,109.0,0.094,1,0,0,2,10,0,1,0,1,1,0,2,0,0,0,2
4,2,3,593.0,0.0,0,0,1,0,4,144.0,0.04,0,0,1,3,13,0,0,0,1,1,0,1,0,0,0,2
4,8,3,928.0,0.0,1,0,0,1,2,414.0,0.387,1,0,0,1,22,1,1,0,4,1,0,2,1,0,0,2
4,9,3,214.0,0.0,0,1,0,0,5,138.0,0.551,0,0,1,3,13,0,0,0,6,2,0,1,1,0,0,2
4,9,3,507.0,0.0,0,0,0,1,2,513.0,0.522,1,0,1,1,20,0,0,0,2,2,0,1,1,0,0,2
5,1,1,292.0,0.2,0,0,0,0,4,231.0,0.555,0,0,0,1,18,1,0,0,6,1,0,0,1,0,0,2
2,2,6,1676.0,0.0,1,1,0,0,4,267.0,0.39,0,0,1,1,18,1,1,0,3,1,0,2,0,0,0,2
5,3,1,127.0,0.0,0,0,0,0,2,212.0,0.135,0,0,0,3,12,0,0,1,6,1,0,0,0,0,0,2
5,8,3,293.0,0.0,0,1,1,0,5,132.0,0.603,0,0,1,3,11,0,0,1,2,1,0,2,0,0,0,2
5,8,1,25.0,0.1,0,1,0,0,1,35.0,0.246,0,0,0,3,11,1,1,0,5,1,0,1,1,0,0,2
5,8,2,250.0,0.0,1,1,0,0,1,42.0,0.206,1,0,0,1,19,1,0,0,3,1,0,2,0,0,0,2
5,3,2,674.0,0.2,1,0,0,1,2,395.0,0.555,1,0,0,3,13,0,1,0,5,1,0,2,0,0,0,2
5,2,3,280.0,0.1,0,1,0,1,5,131.0,0.504,0,0,0,3,11,1,1,0,3,1,0,2,0,0,0,2
0,8,2,35.0,0.5,0,0,1,1,1,25.0,0.397,1,0,0,1,22,1,0,0,2,1,0,2,0,1,0,2
4,8,3,630.0,0.0,0,1,1,1,2,482.0,0.395,1,0,0,1,19,0,0,0,2,1,0,3,1,0,0,2
4,4,2,599.0,0.2,0,0,1,0,1,177.0,0.343,1,0,0,3,11,0,0,0,4,1,0,1,0,1,0,2
0,2,1,437.0,0.0,1,0,0,0,1,149.0,0.372,1,0,1,3,12,0,1,0,3,1,0,1,0,1,0,2
4,4,3,434.0,0.0,1,1,0,0,5,119.0,0.364,0,0,0,3,12,0,1,0,3,1,0,2,0,0,0,2
4,8,4,1122.0,0.5,1,0,0,1,0,256.0,0.36,1,0,0,3,13,0,0,1,6,1,0,2,1,0,1,2
0,0,4,522.0,0.0,1,0,1,0,1,86.0,0.33,1,0,1,2,3,0,0,0,2,2,0,2,0,1,0,2
4,0,3,399.0,0.1,0,1,0,0,1,52.0,0.338,1,0,1,3,13,1,0,0,3,2,0,1,0,0,0,2
4,3,3,417.0,0.3,0,1,1,0,5,235.0,0.328,0,0,0,2,3,0,1,0,4,1,0,2,1,0,0,2
4,1,3,159.0,0.3,0,1,1,0,0,71.0,0.96,1,1,1,1,21,1,0,1,4,1,0,2,1,0,0,2
0,2,3,265.0,0.3,1,0,0,0,0,49.0,0.722,1,1,1,1,20,0,0,0,2,1,0,1,1,0,1,2
0,7,2,240.0,0.0,0,0,1,0,0,83.0,0.117,1,0,1,3,11,0,0,1,1,2,0,1,0,0,0,2
5,6,3,384.0,0.0,1,1,0,1,5,150.0,0.071,0,0,0,1,20,0,0,0,5,2,0,3,0,0,0,2
5,8,2,280.0,0.0,1,0,0,1,1,72.0,0.151,1,0,0,4,16,1,0,1,3,1,0,2,0,1,0,2
4,7,3,170.0,0.0,0,1,0,0,1,70.0,0.214,0,0,0,1,19,0,1,0,8,2,0,1,0,0,0,2
4,5,3,932.0,0.1,1,0,1,0,5,231.0,0.552,0,0,0,2,2,0,0,1,4,2,0,2,0,0,0,2
4,0,3,578.0,0.0,1,0,0,0,2,233.0,0.033,0,0,0,3,13,0,0,0,1,2,0,1,1,0,0,2
4,3,2,369.0,0.1,0,0,1,1,1,162.0,0.657,1,0,0,0,8,0,1,0,2,1,0,2,1,1,0,2
2,4,4,211.0,0.3,0,1,1,0,0,33.0,0.505,1,0,1,3,11,0,1,0,4,1,0,2,1,0,0,2
0,2,1,119.0,0.0,0,1,0,0,1,66.0,0.391,0,0,1,1,18,0,0,0,5,1,0,1,1,0,0,2
5,8,3,88.0,0.3,0,0,0,1,0,35.0,0.268,1,0,0,1,20,1,1,0,4,1,0,1,1,0,1,2
4,1,2,127.0,0.5,0,0,0,0,1,33.0,0.687,1,0,0,3,11,1,1,0,7,1,0,0,0,1,0,2
4,4,3,625.0,0.1,0,0,1,0,1,111.0,0.37,1,0,0,3,12,0,0,1,1,1,0,1,1,1,0,2
0,3,2,337.0,0.0,1,0,0,1,4,101.0,0.258,0,0,0,3,12,0,1,0,3,1,0,2,0,0,0,2
4,3,3,511.0,0.1,0,1,0,0,0,146.0,0.114,1,0,1,3,12,0,0,0,6,1,0,1,1,0,1,2
0,2,2,71.0,0.2,0,1,0,1,0,54.0,0.042,1,0,0,3,12,1,1,0,2,1,0,2,0,0,1,2
4,9,3,336.0,0.3,0,1,0,0,2,425.0,0.133,1,0,0,1,19,0,0,0,1,2,0,1,1,0,0,2
4,2,3,444.0,0.0,1,1,1,0,2,215.0,0.396,1,0,0,2,10,0,0,0,3,1,0,3,1,0,0,2
4,5,3,259.0,0.1,0,1,1,0,4,100.0,0.483,0,0,0,0,8,1,1,0,4,2,0,2,1,0,0,2
4,7,3,273.0,0.0,0,1,1,0,0,70.0,0.587,1,0,1,1,20,0,0,0,2,2,0,2,0,0,0,2
4,4,2,670.0,0.0,1,1,0,0,3,168.0,0.113,1,0,0,0,7,0,0,0,4,1,0,2,0,0,0,2
5,1,2,398.0,0.0,0,0,1,1,0,217.0,0.289,0,0,0,3,13,0,0,0,6,1,0,2,0,0,0,2
4,8,3,504.0,0.2,0,1,1,0,2,454.0,0.182,1,0,0,1,22,0,1,0,6,1,0,2,1,0,0,2
4,2,3,329.0,0.3,0,1,0,0,4,313.0,0.589,0,0,0,0,9,0,0,1,5,1,0,1,1,0,0,2
4,4,2,281.0,0.2,1,1,0,0,1,66.0,0.015,1,0,0,1,20,0,1,0,5,1,0,2,1,0,0,2
5,6,3,916.0,0.0,1,0,1,0,2,463.0,0.513,1,0,0,0,8,1,0,1,2,2,0,2,0,0,0,2
5,8,3,301.0,0.0,0,1,1,0,2,211.0,0.322,1,0,0,3,12,0,1,0,5,1,0,2,0,0,0,2
4,8,3,462.0,0.2,1,0,0,1,0,97.0,0.208,1,0,0,1,20,0,0,0,4,1,0,2,0,0,1,2
4,8,2,210.0,0.2,0,1,0,0,3,86.0,0.248,1,0,0,3,12,1,1,0,7,1,0,1,0,0,0,2
4,8,4,1439.0,0.1,1,1,0,1,0,252.0,0.234,1,0,0,3,12,1,1,0,1,1,0,3,0,0,1,2
0,4,1,145.0,0.2,1,0,0,0,0,72.0,0.32,1,0,1,1,22,0,1,0,2,1,0,1,0,0,1,2
4,7,3,493.0,0.3,0,1,1,0,1,128.0,0.189,1,0,0,3,13,1,0,0,3,2,0,2,1,0,0,2
5,3,3,533.0,0.0,1,0,0,1,3,91.0,0.473,1,0,0,3,12,0,0,0,1,1,0,2,0,0,0,2
4,8,2,490.0,0.2,0,0,1,0,3,200.0,0.299,1,0,0,3,13,1,0,0,4,1,0,1,0,0,0,2
0,2,1,25.0,0.0,0,1,0,0,1,30.0,0.66,0,0,0,3,14,1,1,0,4,1,0,1,0,0,0,2
0,8,1,134.0,0.0,0,0,0,0,0,103.0,0.056,1,0,0,3,12,0,0,0,5,1,0,0,0,0,1,2
5,8,2,268.0,0.2,1,1,0,0,4,63.0,0.698,0,0,0,1,20,1,0,0,1,1,0,2,1,0,0,2
4,8,3,253.0,0.3,0,1,0,1,2,380.0,0.392,1,0,0,1,19,1,0,1,6,1,0,2,0,0,0,2
4,8,2,334.0,0.0,1,0,0,1,1,78.0,0.517,1,0,0,1,22,0,0,0,6,1,1,2,0,1,0,2
5,3,1,51.0,0.1,0,1,0,0,4,125.0,0.627,0,0,0,1,19,0,1,0,2,1,0,1,0,0,0,2
4,9,2,300.0,0.1,0,1,0,1,2,454.0,0.654,1,0,0,3,13,0,0,0,2,2,0,2,1,0,0,2
5,8,1,108.0,0.1,0,0,1,0,0,146.0,0.691,0,0,0,4,15,0,0,1,2,1,0,1,1,0,0,2
4,5,3,258.0,0.0,0,1,0,0,1,40.0,0.176,1,0,0,3,11,0,1,0,2,2,0,1,1,0,0,2
5,3,3,647.0,0.0,0,0,0,0,5,202.0,0.131,0,0,1,0,8,0,1,0,3,1,0,0,0,0,0,2
4,3,3,416.0,0.0,1,0,0,0,2,214.0,0.448,1,0,0,1,18,1,1,0,2,1,0,1,1,0,0,2
4,8,4,1406.0,0.1,1,0,1,0,3,200.0,0.299,1,0,0,3,14,1,0,0,1,1,0,2,1,0,0,2
4,7,2,519.0,0.0,0,0,1,0,0,255.0,0.17,1,0,0,1,19,0,1,0,4,2,0,1,0,0,0,2
5,0,2,140.0,0.1,0,0,1,1,1,72.0,0.271,1,0,0,2,10,0,0,0,1,2,0,2,0,1,0,2
4,8,3,699.0,0.0,0,1,1,0,4,270.0,0.908,0,1,0,2,23,0,0,0,8,1,0,2,0,0,0,2
4,2,4,664.0,0.2,0,1,1,0,1,130.0,0.188,1,0,1,3,14,0,0,0,2,1,0,2,0,0,0,2
5,2,4,561.0,0.0,1,1,1,0,2,258.0,0.412,1,0,0,1,22,0,1,0,5,1,0,3,1,0,0,2
5,3,3,282.0,0.0,0,1,1,0,4,131.0,0.534,0,0,1,1,20,0,0,0,4,1,0,2,1,0,0,2
5,8,2,303.0,0.0,1,0,0,0,1,34.0,0.236,1,0,0,3,14,1,0,1,2,1,0,1,0,1,0,2
5,3,4,329.0,0.0,0,1,1,0,1,53.0,0.357,1,0,1,0,8,0,0,1,7,1,0,2,0,0,0,2
4,8,2,689.0,0.0,1,0,0,0,2,437.0,0.058,0,0,0,3,12,0,0,0,4,1,0,1,0,0,0,2
0,2,1,91.0,0.0,0,0,0,0,5,97.0,0.608,0,0,1,1,19,1,0,0,3,1,0,0,0,0,0,2
4,4,3,499.0,0.1,1,1,0,0,5,138.0,0.337,0,0,0,3,12,0,0,0,1,1,0,2,0,0,0,2
4,3,4,684.0,0.2,0,1,1,0,4,239.0,0.064,0,0,0,1,20,0,0,0,6,1,0,2,0,0,0,2
5,1,4,303.0,0.1,1,0,0,0,5,38.0,0.308,0,0,0,4,15,1,0,0,7,1,0,1,0,0,0,2
0,1,1,71.0,0.0,0,1,0,0,4,101.0,0.167,0,0,0,3,12,0,1,0,4,1,0,1,0,0,0,2
4,1,3,952.0,0.0,1,0,0,1,5,344.0,0.522,0,0,0,1,18,0,0,1,6,1,0,2,0,0,0,2
4,5,3,274.0,0.0,0,1,0,0,2,225.0,0.04,1,0,1,0,9,1,0,0,4,2,0,1,0,0,0,2
4,1,2,340.0,0.0,0,1,1,0,4,234.0,0.182,0,0,0,2,10,0,1,0,2,1,0,2,1,0,0,2
4,2,4,707.0,0.0,0,1,1,0,1,112.0,0.39,1,0,0,3,12,0,1,0,2,1,0,2,1,0,0,2
4,2,3,336.0,0.1,0,1,1,0,0,154.0,0.592,1,0,0,1,20,0,0,0,1,1,0,2,1,0,0,2
0,7,1,92.0,0.0,0,0,0,1,5,149.0,0.042,0,0,1,3,12,0,0,1,4,2,0,1,0,0,0,2
4,4,3,664.0,0.0,0,0,1,0,1,112.0,0.317,1,0,0,1,19,1,0,1,2,1,1,1,0,1,0,2
5,1,2,383.0,0.2,0,0,0,1,3,195.0,0.831,0,1,0,0,9,0,1,0,5,1,0,1,0,0,0,2
0,8,2,207.0,0.3,0,1,0,1,5,292.0,0.206,0,0,0,1,20,0,0,1,6,1,0,2,0,0,0,2
4,8,2,445.0,0.1,0,0,1,0,0,176.0,0.465,1,0,0,0,6,1,1,0,5,1,0,1,1,0,0,2
5,2,2,315.0,0.2,1,0,0,0,2,243.0,0.45,1,0,1,3,13,0,0,0,1,1,0,1,0,0,0,2
0,3,2,242.0,0.0,0,0,0,0,0,96.0,0.224,1,0,1,1,20,0,0,1,4,1,0,0,0,0,1,2
5,4,3,349.0,0.3,1,0,1,1,1,38.0,0.107,1,0,0,3,12,1,1,0,2,1,0,3,1,1,0,2
3,8,1,25.0,0.0,0,1,0,0,2,534.0,0.164,1,0,0,1,21,1,0,0,1,1,0,1,0,0,0,2
4,1,4,1074.0,0.5,0,0,1,0,4,231.0,0.222,0,0,0,1,19,0,1,0,4,1,0,1,0,0,0,2
4,2,2,160.0,0.1,0,0,1,0,1,72.0,0.194,1,0,1,1,19,0,1,0,5,1,0,1,1,1,0,2
4,1,3,365.0,0.0,1,1,0,1,4,141.0,0.356,0,0,0,1,19,0,0,0,1,1,0,3,0,0,0,2
5,1,3,161.0,0.0,1,0,0,1,3,61.0,0.372,1,0,0,2,23,0,0,0,1,1,0,2,1,0,0,2
0,9,2,285.0,0.2,0,0,0,1,5,115.0,0.214,0,0,0,1,19,0,1,0,7,2,0,1,0,0,0,2
4,2,3,632.0,0.0,0,1,1,0,4,289.0,0.111,0,0,0,3,12,0,1,0,1,1,0,2,0,0,0,2
2,1,3,153.0,0.2,1,0,1,1,2,108.0,0.426,1,0,1,1,21,0,0,0,1,1,0,3,0,0,0,2
0,5,1,25.0,0.0,0,1,0,0,1,86.0,0.132,0,0,0,1,18,0,0,1,1,2,0,1,0,0,0,2
4,6,2,867.0,0.5,1,0,0,0,3,173.0,0.193,1,0,0,3,11,1,0,0,2,2,0,1,1,0,0,2
5,2,4,490.0,0.3,1,0,0,1,4,236.0,0.384,0,0,0,2,10,1,0,1,5,1,0,2,0,0,0,2
4,6,1,164.0,0.1,0,0,0,0,5,248.0,0.329,0,0,0,1,20,0,0,1,4,2,0,0,1,0,0,2
4,8,2,373.0,0.2,1,0,0,0,5,152.0,0.354,0,0,0,3,13,0,0,1,5,1,0,1,0,0,0,2
5,5,2,208.0,0.0,0,0,1,0,2,213.0,0.485,0,0,0,1,20,1,0,0,2,2,0,1,0,0,0,2
5,6,1,25.0,0.0,0,1,0,0,3,25.0,0.734,0,1,0,3,13,0,1,0,1,2,0,1,0,0,0,2
3,8,2,132.0,0.0,1,0,1,0,5,53.0,0.805,0,1,0,4,17,1,0,1,7,1,0,2,0,0,0,2
2,4,5,884.0,0.1,0,1,1,0,1,111.0,0.37,1,0,0,1,20,1,0,0,3,1,0,2,1,0,0,2
4,7,1,38.0,0.0,0,1,0,0,1,66.0,0.333,0,0,1,0,7,0,0,0,1,2,0,1,0,0,0,2
4,8,2,351.0,0.2,0,0,0,1,2,467.0,0.286,1,0,0,1,19,0,1,0,4,1,0,1,1,0,0,2
4,8,3,621.0,0.1,0,1,1,1,2,454.0,0.182,1,0,0,1,20,0,0,0,6,1,1,3,0,0,0,2
4,5,4,664.0,0.0,1,1,0,0,0,131.0,0.122,1,0,0,1,20,0,0,0,3,2,0,2,0,0,1,2
5,1,2,585.0,0.0,0,0,0,0,1,166.0,0.337,1,0,0,1,20,1,1,0,5,1,0,0,1,1,0,2
0,8,2,466.0,0.1,0,1,1,0,5,310.0,0.353,0,0,0,2,4,0,0,0,1,1,0,2,1,0,0,2
2,3,5,488.0,0.3,0,1,1,0,1,25.0,0.055,1,0,0,1,20,0,1,0,2,1,0,2,1,0,0,2
0,0,3,171.0,0.0,0,1,0,0,1,60.0,0.372,1,0,0,1,20,0,1,0,2,2,0,1,0,0,0,2
5,3,1,41.0,0.0,0,0,0,0,0,30.0,0.549,1,0,0,0,9,0,0,1,4,1,0,0,1,0,1,2
4,1,2,402.0,0.0,0,0,1,1,3,311.0,0.518,0,0,0,3,13,1,0,0,2,1,0,2,0,0,0,2
2,8,5,590.0,0.1,1,1,0,0,2,215.0,0.365,1,0,0,1,21,0,1,0,3,1,0,2,0,0,0,2
4,4,3,451.0,0.2,1,0,0,1,4,106.0,0.224,0,0,1,1,20,0,0,0,4,1,0,2,0,0,0,2
4,7,4,501.0,0.3,0,1,1,0,1,106.0,0.535,1,0,0,3,12,1,0,1,1,2,0,2,1,0,0,2
5,3,3,535.0,0.0,1,0,1,0,3,87.0,0.383,1,0,0,3,12,1,0,1,1,1,0,2,0,0,0,2
5,5,2,857.0,0.1,1,0,0,0,0,168.0,0.353,1,0,0,2,10,0,0,0,7,2,0,1,1,0,1,2
3,2,3,545.0,0.1,0,0,1,1,5,376.0,0.458,0,0,0,1,21,1,0,1,1,1,0,2,0,0,0,2
4,3,3,147.0,0.1,0,1,1,0,0,29.0,0.04,1,0,0,1,21,0,0,0,1,1,0,2,0,0,0,2
4,2,2,420.0,0.0,0,0,1,0,0,233.0,0.389,1,0,0,3,13,0,0,0,2,1,0,1,1,0,0,2
1,4,2,140.0,0.1,1,0,0,0,5,60.0,0.357,0,0,0,3,11,0,0,0,5,1,0,1,0,0,0,2
4,2,4,318.0,0.0,1,1,0,1,5,151.0,0.437,0,0,0,0,9,0,0,0,8,1,0,3,0,0,0,2
2,6,4,463.0,0.2,0,0,1,1,2,203.0,0.805,1,1,0,0,8,1,1,0,2,2,0,2,1,0,0,2
0,8,3,185.0,0.3,1,0,0,0,2,108.0,0.259,1,0,1,1,19,0,1,0,1,1,0,1,0,0,0,2
4,3,2,384.0,0.0,0,1,0,0,4,141.0,0.166,0,0,0,3,11,1,0,0,2,1,1,1,0,0,0,2
4,3,1,390.0,0.0,1,0,0,0,0,278.0,0.116,1,0,1,1,20,0,0,0,6,1,0,1,0,0,1,2
4,4,1,295.0,0.1,0,0,0,0,4,153.0,0.602,0,0,0,0,7,0,0,0,7,1,0,0,0,0,0,2
0,3,2,483.0,0.0,0,1,0,0,1,25.0,0.201,1,0,1,4,17,0,0,1,2,1,0,1,0,0,0,2
4,9,4,1539.0,0.0,1,0,0,0,5,329.0,0.539,0,0,0,2,23,0,0,0,2,2,0,1,0,0,0,2
0,8,1,233.0,0.0,1,0,0,0,1,56.0,0.246,1,0,0,4,15,0,1,0,2,1,0,1,0,1,0,2
0,5,1,33.0,0.1,0,1,0,0,1,49.0,0.48,0,0,0,3,14,0,0,0,6,2,0,1,0,0,0,2
0,7,2,108.0,0.0,0,0,1,0,0,41.0,0.74,0,1,0,1,19,0,1,0,1,2,0,1,0,0,0,2
5,2,3,574.0,0.3,1,0,0,0,5,169.0,0.672,0,0,0,1,19,1,1,0,2,1,0,1,1,0,0,2
1,7,1,130.0,0.0,0,0,0,0,1,68.0,0.61,1,0,1,1,20,0,1,0,5,2,0,0,0,1,0,2
1,6,1,100.0,0.1,0,0,1,0,0,96.0,0.382,0,0,0,1,18,0,0,0,5,2,0,1,0,0,0,2
4,3,3,410.0,0.2,1,0,0,0,2,219.0,0.08,1,0,0,3,13,0,1,0,4,1,0,1,1,0,0,2
4,3,4,689.0,0.0,1,1,0,1,5,160.0,0.305,0,0,0,4,16,0,1,0,3,1,0,3,1,0,0,2
4,6,3,560.0,0.0,0,0,0,1,4,319.0,0.229,0,0,0,1,21,0,0,0,2,2,0,1,0,0,0,2
5,2,3,232.0,0.2,0,1,0,1,2,198.0,0.174,1,0,0,4,15,0,0,0,7,1,0,2,0,0,0,2
2,4,7,1310.0,0.3,0,1,1,1,4,166.0,0.416,0,0,0,1,20,0,0,1,1,1,0,3,1,0,0,2
5,2,2,88.0,0.2,0,0,1,0,1,25.0,0.375,1,0,0,1,22,0,0,0,1,1,0,1,1,1,0,2
4,3,3,1050.0,0.0,1,0,0,0,1,127.0,0.472,1,0,0,1,20,0,0,0,1,1,0,1,1,1,0,2
4,6,3,1040.0,0.3,1,0,0,1,5,240.0,0.244,0,0,0,1,21,0,0,0,1,2,0,2,1,0,0,2
4,8,1,470.0,0.1,1,0,0,0,2,448.0,0.455,0,0,0,3,11,0,0,0,8,1,1,1,0,0,0,2
